"","screen_name","text","Tweeter_Credibility","Tweet_Credibility","Credibility"
"168","BladesofFysh","RT @Millenniel_Matt: Tucker Carlson: ""What US national security interest is served by invading #Syria ?""

Senator Wicker: ""Well, if you car…","NC","LC","LC"
"169","AllNewsNetWorld","Syria 'chemical attack': Trump pledges 'forceful' US response https://t.co/YcEEi0mb4D","NC","HC","HC"
"170","EleniNumber5","RT @Joyce_Karam: This is significant because Mattis is 1.most cautious in Trump admin.
2. Drew distinction between Sarin and Chlorine Gas a…","LC","LC","VLC"
"171","HerryRodin","RT @HerryRodin: #Iran: If you can't help Syrian people, at least don't kill them #IRGC <U+26A0><U+FE0F>. Tell #Assad to STOP the bombings in #Syria's #Gh…","LC","LC","VLC"
"172","cdhovey5","RT @PhxKen: Fake News: CBS Calls Trump Wanting U.S. Troops Out Of Syria A “Retreat,” Hailed Obama Withdrawing From Afghanistan As A “Milest…","HC","LC","NC"
"173","burnodo","RT @PoliticsOTM: -They lied to you about Vietnam

-They lied to you about Iraq

They lied to you about Libya

-They are lying to you about…","NC","LC","LC"
"174","dylan_spit_fire","RT @SoniaKatiMota: @dhookstead FACTS<U+203C><U+FE0F>Jaysh Al-Islam - the ""Rebels"" who blame the #Syria-n Govt for this #Ghouta #Douma #GasAttack are the…","LC","LC","VLC"
"175","BlueBen1967","RT @alexgordonrmt: Tony Blair on #BBCR4today right now calling for the British government to support US military action in Syria. It's like…","NC","LC","LC"
"176","bretzles","RT @realDonaldTrump: Many dead, including women and children, in mindless CHEMICAL attack in Syria. Area of atrocity is in lockdown and enc…","NC","LC","LC"
"177","saraluna132","RT @haaretzcom: Iranian death toll in Syria strike attributed to Israel rises to 7, including top drone commander https://t.co/QVFNR2ygWK","HC","LC","NC"
"178","ThankYouRonnie","RT @MAGAVoice: A must WATCH and RT Patriots!!

Very important!!
Warning: Need some Brains and Commonsense to understand this!! https://t.co…","NC","LC","LC"
"179","Poppis22","RT @KarnaMikko: Disgrace to #EU, that @eucopresident and @EUinBCN are silent, while #Spain is taking more political prisoners in #Catalonia…","LC","LC","VLC"
"180","nazibantz","@LeslieKrupp @mEyck97 @CircusEU @Zbd998 @MarkACollett Yet you seem to swallow them whole when it comes to Syria. Th… https://t.co/JpEMECu86r","LC","LC","VLC"
"181","scegjf","RT @Refugees: ""Syria needs every single child to have an education and go and rebuild our country one day. This is my biggest dream.""

<ed><U+00A0><U+00BD><ed><U+00B9><U+008C> Po…","NC","LC","LC"
"182","ditmasmedia","RT @mac123_m: Corbyn's response to the latest atrocity in Syria. <U+2B07><U+FE0F>
Like his response to the Salisbury incident, measured, correct and work…","NC","LC","LC"
"183","AWAKEALERT","@EmbassyofRussia @mod_russia @mfa_russia @RusEmbSyria @RusEmbTurkey @Rusembegypt @VanessaBeeley @Partisangirl… https://t.co/HT6h1daEu8","NC","HC","HC"
"184","Lt_Hicks","RT @AlSuraEnglish: #BREAKING - #Russian Black Sea Fleet declares high level combat alert for all vessels as #US-led trans-national strike f…","NC","LC","LC"
"185","ColumnistWorld","Syria 'chemical attack': Trump pledges 'forceful' US response https://t.co/fdHifuxxfG","NC","HC","HC"
"186","SMarkfish","RT @ChrisMurphyCT: The Constitution couldn’t be clearer. The President doesn’t get to decide when to launch attacks in the absence of an im…","NC","LC","LC"
"187","owldom","That's because the EU clearly appears to be in cahoots siding with tyranny to achieve a mutual goal, so much for be… https://t.co/WgntSyAsje","HC","LC","NC"
"188","V72P6x","RT @SamiRamadani1: I forgot another item currently subject to censorship by our media on #Syria:
6. The sick ideology of terrorist gangs (i…","LC","LC","VLC"
"189","thomas_embleton","RT @DanKaszeta: However, this does not mean that its use is somehow legal. Use of chlorine as a weapon clearly violates the text of the CWC…","HC","LC","NC"
"190","zanebland2","RT @RonPaul: 'Ron Paul: Bring troops home from Syria now' -- Read my op-ed in today's @USATODAY :
https://t.co/Y0yEr4VJKk","LC","HC","NC"
"191","crypticvalentin","Russia warns US response to Syria 'chemical weapons' attack could be met by 'grave repercussions'..#Russia..#Syria.… https://t.co/j0SZr9Gsqx","HC","LC","NC"
"192","nash_aaron","Well at least Corbyn’s finally reached out to some voters on a different part of the political spectrum... https://t.co/R38nnor4mW","NC","HC","HC"
"193","bhobhobho","RT @doamuslims: Massacre: Over 100 civilians (entire families) were gassed <U+2623> to death and 1000 cases of suffocation today after warplanes b…","NC","LC","LC"
"194","taiyonoibiki","Syria: What comes after the latest 'chemical attack' provocation? https://t.co/GGKS0WZmLJ via @YouTube","NC","HC","HC"
"195","DeanR66506877","RT @birdman8272: Will President Trump make Syria pay with a major military action?

Please Vote and Retweet!","NC","LC","LC"
"196","_disbasin","Turkish military operation will continue in Afrin - Turkish Defense Minister   https://t.co/ztt6ANBrKV","NC","HC","HC"
"197","RiderJuanita","RT @Eleanora13th: @LizCrokin Anons are working on those photos and to see what they really may be doing there its more horrifying than word…","HC","LC","NC"
"198","casajuntoalrio","RT @Partisangirl: Riots broke out in #Douma after families expecting the release of 4000 civilian hostages were shocked when only 200 came…","HC","LC","NC"
"199","neemo2357","RT @DerbyChrisW: With the drums of war beating from the Whitehouse to Westminster, this timely article by @skwawkbox is a must read.
#GiveP…","HC","LC","NC"
"200","srbnews0","#BREAKING  #URGENT: #US, other countries refuse to face reality in alleged #Syria chemical attack case… https://t.co/u1uhVYMRCR","NC","HC","HC"
"201","trumps_feed","RT @foxandfriends: House Homeland Security Chairman: In Syria We Must Punish Assad, Iran, Russia, and Destroy ISIS https://t.co/lpTrlAZfBr","LC","LC","VLC"
"202","ForcesReviewUK","Keep asking for intervention, but no clean plan how or what for the aftermath https://t.co/hcUEybG4gB","HC","LC","NC"
"203","OddLane","RT @AsafRonel: #update: Iran now says 6 Iranians killed in the Israeli airstrike on the T4 base in Syria https://t.co/BeUSzNjB50","NC","LC","LC"
"204","SoylentGreen78","Horse shoe. Hard left/ hard right: can’t get a fag paper between them. https://t.co/cXyL7WoTD5","HC","HC","VHC"
"205","propornot","RT @WASBAPPIN: Glad all the ""anti-interventionists"" are against this, too, and want to ""cooperate"" with Putin instead. They are all just fa…","LC","LC","VLC"
"206","Missi007xy","RT @thevocaleurope: <ed><U+00A0><U+00BD><ed><U+00B4><U+00B4> IMPORTANT |

""If it is #Russia, if it is #Syria, if it is #Iran, if it is all of them together, we'll figure it out a…","LC","LC","VLC"
"207","arabellamunro","RT @LizSly: “Marie Colvin was a dog and now she’s dead”: the Syrian general who ordered the mortar salvo that killed her in Homs, according…","NC","LC","LC"
"208","simonjjacobson","RT @medialens: Here's your cuddly, liberal, left-leaning Guardian demanding yet another war:

'It’s time for Britain and its allies to take…","LC","LC","VLC"
"209","Maximus2292","@Becky91663 If the West intervenes the globalists will use it as an argument to flood the West with immigrants.

We… https://t.co/0vZEhPmKBE","NC","LC","LC"
"210","NeotipPro","RT @ikhras: US regime journalist @fpleitgenCNN just referred to Syrian civilians, including men, women and children, kidnapped by the #Saud…","HC","LC","NC"
"211","NJ_A_08","RT @AlArabiya_Eng: OPINION: Killing people as if they are insects. Columnist @aalrashed writes on the #Syria chemical attack https://t.co/b…","NC","LC","LC"
"212","Ra_Rus","RT @Liveuamap: (It's about potential action from Mediterranean Sea into Syria) https://t.co/EtQkzsz7Ug","HC","HC","VHC"
"213","AaronBBrown","RT @AlArabiya_Eng: OPINION: Killing people as if they are insects. Columnist @aalrashed writes on the #Syria chemical attack https://t.co/b…","NC","LC","LC"
"214","MrsMcLordy","RT @chelleryn99: On Radio 4's World Tonight, @CPhilpOfficial got very defensive when @DerbyChrisW says if the govt really wanted peace in S…","HC","LC","NC"
"215","auto00099","RT @TravisRuger: Maybe for we didn’t perpetually bomb the world countries wouldn’t hate us.        #MondayMotivation #Assad #Syria #Maddow…","NC","LC","LC"
"216","youwildman","@realDonaldTrump Sir, I hope you verify the use of chemicals in Syria; if Assad's army has the city surrounded why… https://t.co/T2uyZeKPqt","HC","LC","NC"
"217","srbnews0","#BREAKING  #URGENT: #US, other countries refuse to face reality in alleged #Syria chemical attack case… https://t.co/ZpXahz99gU","NC","HC","HC"
"218","cleepohl","RT @tribelaw: The man who ranted incoherently about the warranted FBI raid into his fixer’s premises at the start of a War Cabinet meeting…","LC","LC","VLC"
"219","tjitskelingsma","Journalist Marie Colvin was killed in Homs in 2012. Her family filed suit in US against Syrian regime. Yesterday la… https://t.co/dAecNEwkj7","NC","LC","LC"
"220","nopegut","RT @FearDept: We don't care about our own citizens. Why would we care about Syrians?  https://t.co/hTwUX7pSfA","NC","HC","HC"
"221","GarciaJonacina","RT @KarnaMikko: Disgrace to #EU, that @eucopresident and @EUinBCN are silent, while #Spain is taking more political prisoners in #Catalonia…","NC","LC","LC"
"222","G_Male_Baby","I liked a @YouTube video https://t.co/2fGlTbJdAd Should the USA Attack Syria? A Tale of Two Trumps","NC","HC","HC"
"223","BClarkiii","RT @syrianconst: One More #US Warship Heading Towards #Syria
 https://t.co/FhZPAVbTTI","LC","NC","LC"
"224","RODRIGORRC72","RT @Liveuamap: Air Defense of Russian Black Sea Fleet has declared combat alert https://t.co/hAkdEjBTXR via @AJABreaking #Syria #Ukraine ht…","HC","LC","NC"
"225","FatinSyfqhAiman","RT @ajplus: At least 70 people, mostly women and children, were killed in a suspected chemical attack in Douma, Syria. https://t.co/lxGFkgA…","NC","LC","LC"
"226","NOWARSFORISRAEL","RT @wisermann: @BasedMonitored @NOWARSFORISRAEL Israel wants US to fully destroy Syria like Iraq and Libya were for this plan https://t.co/…","NC","LC","LC"
"227","haloefekti",".@SputnikInt reports Israel Amb. In moscow has been summoned to the Russian foreign ministry in response to yesterd… https://t.co/gwpMucgag0","NC","LC","LC"
"228","shottlandka","'Highly likely' poisoning by #Russia; 'suspected' chemical attack by #Syria - is evidence now completely irrelevant… https://t.co/AZfENlYXX5","NC","LC","LC"
"229","MonicaLogallmon","RT @ShopgirlAlic: Good thing @realdonaldtrump was never critical of Obama's decisions regarding #Syria. It might be embarrassing now. It's…","NC","LC","LC"
"230","AWAKEALERT","RT @EmbassyofRussia: The #DoumaProvocation in #Syria is the crudest one yet. @mod_russia &amp; @mfa_russia have several times and well in advan…","NC","LC","LC"
"231","WartaTimteng","RT @Malcolmite: assad regime has used CW’s since 2012 multiple times https://t.co/jNudo6IA1W","HC","HC","VHC"
"232","ladydwinter","RT @FoxNews: “We are on the edge of a dangerous precipice.”

On Monday, U.S. Ambassador to the United Nations @nikkihaley slammed Syria fol…","HC","LC","NC"
"233","tezriley","RT @walid970721: Maybe those westerners who are naive enough to believe that the #Syria/n govt used chemical weapons in #Douma when it was…","NC","LC","LC"
"234","TurkishEmbPTA","RT @MFATurkey: Civilians returning their villages to rebuild their lives thanks to #OperationOliveBranch tell how PKK/PYD-YPG terrorists ru…","NC","LC","LC"
"235","christhompson82","RT @wikileaks: WikiLeaks issues a US$100,000 reward for confidential official information (intercepts, reports) showing to who is responsib…","NC","LC","LC"
"236","redtiki2015","RT @USuncutMN: The latest Shame on ALEC Corporatocracy Racket! https://t.co/y9bqHhA9RV Thanks to @Sarah__Reynolds @mycarlisle @redtiki2015…","NC","LC","LC"
"237","HollyJohnsonfan","https://t.co/Hw91X6Jqs0    You must be so proud...@ChiOnwurah - #NewcastleUponTyne #northeasthour Nick Griffin supports Corbyn.","HC","HC","VHC"
"238","Fred_Cathy_Ret","RT @JamesStevenHal1: Here are the links!

https://t.co/ycZop0QEt8

https://t.co/4gEkKm4tnx

https://t.co/5YgfGXNplc

https://t.co/dG8yPgNNW…","NC","LC","LC"
"239","Liliaiolite","RT @benjaminhaddad: Why France needs to strike Syria (with or without the US). My latest in @ForeignPolicy 
https://t.co/uON01fdQ7K","HC","HC","VHC"
"240","rhipkin","RT @leftiblog: Given that Syria has no reasonable motive for a chemical attack, &amp; every motive NOT to conduct such an attack, an extremely…","NC","LC","LC"
"241","BuddyLove2070","RT @westland_will: Tucker Carlson (@TuckerCarlson) delivered a brilliant #AmericaFirst message against war in Syria. 

Everyone should watc…","NC","LC","LC"
"242","LLopezMooney330","RT @JackPosobiec: Trump supporter poll on Syria

Pick one:","HC","LC","NC"
"243","sadiqshah2112","RT @anteebah_alSham: SAA/pro-ASSad militias terrorists shelled heavy artillery targeting #Zakat town, unknown casualties among civilians so…","NC","LC","LC"
"244","chanhagaf1994","RT @AJEnglish: We look at the chemical weapons used to attack rebel-held areas in Syria since 2013 https://t.co/KAYq8N89K9 https://t.co/AuA…","LC","LC","VLC"
"245","cathalmalone","RT @ELINTNews: #BREAKING: The USS Donald Cook has just taken position off the coast of Syria with multiple Russian warplanes harassing and…","HC","LC","NC"
"246","alarch93","RT @DougSides: <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>Impossible For Syria To Use Chemical Weapons Because Susan Rice Told Is Obama Got Them All Out...
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>Now we are told Syria s…","NC","LC","LC"
"247","canthavepudding","RT @Ventuckyspaz: @freedomrideblog Which would be none. I hope leftists speak out against war with Syria as much as I see MAGA and libertar…","NC","LC","LC"
"248","redpilado","RT @foxandfriends: Should the U.S. take action against Syria for their reported use of deadly chemical weapons?","LC","HC","NC"
"249","ExcitingAds","President Trump Threatens to Strike Syria Over Chemical Weapons Attack… https://t.co/VhILkkBejJ ExcitingAds! News","NC","LC","LC"
"250","EgebamyasiVEVO","Stay the fuck out of Syria filthy Yankees #NoWarInSyria","HC","LC","NC"
"251","SaliDavies","RT @pete_sinclair: Assad is a bastard. Putin is a bastard. Trump is a bastard. Erdogan is a bastard. Netanyahu is a bastard. ISIS are basta…","HC","LC","NC"
"252","cbprincess5","Islamic Syria has problems but we have no control over there No war for US <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> They want to be having radical Islam… https://t.co/I64FFH1nC9","NC","LC","LC"
